Code status (F=full;S=semi),Year,Author,Title,Journal Title,ISBN/ISSN,DOI.URL,Abstract,Volume,Issue,Pages
F,2018,"Bruce, N.; Anderson de Cuevas, R.; Cooper, J.; Enonchong, B.; Ronzi, S.; Puzzolo, E.; Mbatchou, B.; Pope, D.",The Government-led initiative for LPG scale-up in Cameroon: Programme development and initial evaluation,Energy for Sustainable Development,0973-0826,https://doi.org/10.1016/j.esd.2018.05.010,"In 2016, the government of Cameroon, a central African country heavily reliant on wood fuel for cooking, published a Masterplan for increasing primary use of LPG from 20% to 58% of households by 2035. Developed via a multi-sectoral committee with support from the Global LPG Partnership, the plan envisages a 400 million Euro investment program to 2030, focused on increasing LPG cylinder numbers, key infrastructure, and enhanced regulation. This case study describes the Masterplan process and investment proposals and draws on community studies and stakeholder interviews to identify factors likely to impact on the planned expansion of LPG use.",46,,103-110
F,2018,"Malakar, Y.",Studying household decision-making context and cooking fuel transition in rural India.,Energy for Sustainable Development,,10.1016/j.esd.2017.12.006,"This short communication piece questions whether unaffordability really matters for families to reject improved fuels. It presents the case of an Indian village where nearly every house has successfully introduced a TV, but only one house adopted LPG for cooking. Considering that the former is more expensive than the latter and whilst both are relatively new and energy-related technologies, the paper asks how and why people decided to adopt one extensively but not the other. Methodologically, the study employs a mixed method approach, collecting both quantitative and qualitative data. The findings suggest that the lack of sufficient income has little influence on people to adopt or reject improved fuels. The paper argues that it may not give us a clear picture if we research why people choose or reject one fuel over another. This paper demonstrates that to understand a household's fuel choice decision, it is essential to understand the broader decision-making context within which families operate and make all decisions.",43,,68-74
F,2019,"Boso, À., Oltra, C. and Hofflinger, Á.","Participation in a programme for assisted replacement of wood-burning stoves in Chile: The role of sociodemographic factors, evaluation of air quality and risk perception.",Energy policy,,10.1016/j.enpol.2019.03.038,"Temuco and Padre Las Casas are two of the most polluted cities in southern Chile; around 90% of the particulate matter emissions are produced by wood-burning stoves used for domestic heating and cooking. Surveys were collected from 489 residents to examine differences between applicants and non-applicants to a programme to replace wood-burning stoves with pellet stoves. Results show that participants who applied to the programme are, on average, older than non-applicants, are more likely to have a respiratory impairment, tend to evaluate indoor air quality worse than non-applicants and tend to perceive the health effects of air pollution as more severe. The findings also suggest that motivation to improve air quality is a key aspect for understanding the adoption of pellet stoves when the requirement for initial investment is removed. Practical implications relating to the role of sociodemographic and psychological factors in the decision to replace heating systems are discussed to support the design of more effective interventions to mitigate wood smoke pollution.",129,,1220-1226
F,2019,"Dendup, N.; Arimura, T.H.",Information leverage: The adoption of clean cooking fuel in Bhutan.,Energy Policy,0301-4216,https://doi.org/10.1016/j.enpol.2018.10.054,"The outcome of household choice depends on the private information available to an agent, particularly in terms of costs and bene ts. This study examines the role of information in the adoption of clean cooking fuel in Bhutan. We use a rural subsample of nationally representative data from the 2012 Bhutan Living Standard Survey (BLSS) conducted in all twenty districts. We estimate a bivariate probit model to control for the potentially endogenous information variable. The results indicate that households that have access to information are approximately 39% more likely to adopt clean cooking fuel. Similarly, households are 49% less likely to adopt dirty fuel ( rewood) when exposed to information. Other factors such as education, the electricity supply, access to liquidity and the distance to the market are important factors that contribute to adopting clean cooking fuel. The results also show that the e ect of information varies depending on the level of education of the household heads, thus highlighting the importance of accounting for the level of education of information recipients when designing a similar information provision",125,,181-195
F,2018,"Ma, B.; Yu, Y.; Urban, F.",Green transition of energy systems in rural China: National survey evidence of households’ discrete choices on water heaters.,Energy Policy,,https://doi.org/10.1016/j.enpol.2017.11.046,"Energy systems in rural China are experiencing a transition from traditional fossil fuels to renewables. This paper aims to investigate the potential factors that influence the choices of rural residents regarding water heaters with a focus on the low-carbon transition to solar water heating systems. To this end, a face-to-face questionnaire survey is undertaken with 3404 rural households randomly selected among 12 representative provinces. A comprehensive set of discrete choice modelling approaches were used. The empirical results show that (1) sociodemographic variables have significant effects on residents’ first-stage choice of a water heater (to buy or not to buy) but few effects on the second-stage decision to choose electric, LPG, or solar water heaters (which type to buy); (2) information spillover is important to facilitate the usage of water heaters, particularly of solar products; (3) the electricity price, which is regulated at a very low rate, has no apparent effect on the choice of solar water heaters; (4) government subsidy has a significant effect in the first stage but no differentiated effect on the decision choice in the second stage. Policy and managerial implications are presented to speed up the ongoing low-carbon transition of energy systems in China.",113,,559-579
F,2016,"Kimemia, D.; Annegarn, H.",Domestic LPG interventions in South Africa: Challenges and lessons.,Energy Policy,,https://doi.org/10.1016/j.enpol.2016.03.005,"A majority of grid-connected households in South Africa use electricity for cooking and heating tasks. This thermal intensive use of electricity has a high load factor and is a contributory factor of electricity demand outstripping supply at peak demand periods. The government has promoted liquefied petroleum gas (LPG) as an alternative thermal energy source for household cooking and heating. This study evaluates the long-term successes, challenges and social impacts of an LPG intervention project that was piloted in Atteridgeville Township, a typical low-income suburb. The data was gathered through one-on-one household interviews with a sample of the beneficiaries. The results indicate that seven years after the LPG intervention, about 70% of the beneficiaries continue to use LPG and report that the intervention has improved their welfare. Fast cooking is cited as the key tangible benefit of LPG technology in households, followed by saving on electricity bills. The project would have achieved more success through better community engagement, including strict beneficiary selection criteria; a long-term LPG distribution and maintenance plan; and inclusion of recurring monthly LPG subsidies for indigent households. The study discusses the subset of factors necessary for successful rollouts of similar energy projects.",93,,150-156
F,2018,"Pollard, S.L.; Williams, K.N.; O'Brien, C.J.; Winiker, A.;  Puzzolo, E.; Kephart, J.L.; Fandiño-Del-Rio, M.; Tarazona-Meza, C.; Grigsby, M.R.; Chiang, M.; Checkley, W.",An evaluation of the Fondo de Inclusión Social Energético program to promote access to liquefied petroleum gas in Peru.,Energy for Sustainable Development,,https://doi.org/10.1016/j.esd.2018.06.001,"Introduction - Over 80% of rural households in Peru use solid fuels as their primary source of domestic energy, which contributes to several health problems. In 2016, 6.7 million Peruvians were living in rural areas. The Fondo de Inclusión Social Energético (FISE) LPG Promotion Program, which began in 2012 and is housed under the Ministry of Energy and Mining, is a government-sponsored initiative aimed at reducing use of solid fuels by increasing access to clean fuel for cooking to poor Peruvian households. Methods- We conducted a mixed methods study incorporating data from publicly available records and reports, a community survey of 375 households in Puno (the province with the largest number of FISE beneficiary households), and in-depth interviews with community members and key stakeholders. We used the Reach, Effectiveness – Adoption, Implementation, Maintenance (RE-AIM) framework to guide our data collection and analysis efforts. In a sample of 95 households, we also measured 48-hour area concentrations and personal exposures to fine particulate matter (PM2.5). Results - The FISE LPG promotion program has achieved high geographical reach; the program is currently serving households in 100% of districts in Peru. Households with access to electricity may be participating at a higher level than households without electricity because the program is implemented primarily by electricity distributors. In a sample of 95 households, FISE beneficiaries experienced a reduction in kitchen concentrations of PM2.5; however, there were no differences in personal exposures, and both kitchen and personal exposures were above the WHO intermediate target for indoor air quality. Among the 375 households surveyed, stove stacking with biomass fuels was reported in >95% of both beneficiary and non-beneficiary households, with fewer than 5% reporting exclusive use. In-depth interviews suggest that the complexity of the enrollment process and access to LPG distribution points may be key barriers to participating in FISE. Conclusion - The FISE LPG Program has achieved high reach and its targeted subsidy and surcharge-based financing structure represent a potentially feasible and sustainable model for other government programs. However, the prevalence of stove stacking among FISE beneficiaries remains high. There is a need for improved communication channels between program implementers and beneficiaries. FISE should also consider expanding the mobile LPG network and community delivery service to reduce physical barriers and indirect costs of LPG acquisition. Finally, increasing the value of LPG vouchers to completely cover one or two tanks a month, or alternatively, introducing behavior change strategies to reduce monthly LPG usage, may facilitate the transition to exclusive LPG use.",46,,82-93
F,2019,"Dickinson, K.L.; Piedrahita, R.; Coffey, E.R.; Kanyomse, E.; Alirigia, R.; Molnar, T.; Hagar, Y.; Hannigan, M.P.; Oduro, A.R.; Wiedinmyer, C.",Adoption of improved biomass stoves and stove/fuel stacking in the REACCTING intervention study in Northern Ghana.,Energy Policy,0301-4215,https://doi.org/10.1016/j.enpol.2018.12.007,"In order to support transitions away from open-fire cooking and toward cleaner household energy systems, a better understanding of users’ technology adoption patterns and preferences is needed. This paper highlights key factors influencing use of two types of biomass-burning stoves provided through the REACCTING (Research on Emissions, Air quality, Climate, and Cooking Technology in Northern Ghana) randomized intervention study. We examine traditional and improved stove use over a two year follow up period, finding that the more basic rocket stove was used at a higher rate than the higher-tech gasifier stove. While stove use patterns varied by stove group, region, primary cook occupation, and socioeconomic status, use of traditional stoves remained high across most groups. Users perceived that improved stoves were less suitable for cooking a staple dish, Tuo Zaafi (TZ), and technical problems (e.g., battery failures with the gasifier stove) also limited the effectiveness of the intervention. Moving forward, household energy policies should prioritize a range of technologies that have potential to meet local needs while delivering meaningful health and/or environmental benefits, recognizing that stove and fuel “stacking” is likely to persist. A greater focus on markets and enabling environments is needed to support sustainable and scalable energy transitions.",130,,361-374
F,2017,"Clark, S.; Carter, E.; Shan, M.; Ni, K.; Niu, H.; Tseng, J.T.W.; Pattanayak, S.K.; Jeuland, M.; Schauer, J.J.; Ezzati, M.; Wiedinmyer, C. ","Adoption and use of a semi-gasifier cooking and water heating stove and fuel intervention in the Tibetan Plateau, China.",Environmental Research Letters,,DOI: 10.1088/1748-9326/aa751e,"Improved cookstoves and fuels, such as advanced gasifier stoves, carry the promise of improving health outcomes, preserving local environments, and reducing climate-forcing air pollutants. However, low adoption and use of these stoves in many settings has limited their benefits. We aimed to improve the understanding of improved stove use by describing the patterns and predictors of adoption of a semi-gasifier stove and processed biomass fuel intervention in southwestern China. Of 113 intervention homes interviewed, 79% of homes tried the stove, and the majority of these (92%) continued using it 5–10 months later. One to five months after intervention, the average proportion of days that the semi-gasifier stove was in use was modest (40.4% [95% CI 34.3–46.6]), and further declined over 13 months. Homes that received the stove in the first batch used it more frequently (67.2% [95% CI 42.1?92.3] days in use) than homes that received it in the second batch (29.3% [95% CI 13.8?44.5] days in use), likely because of stove quality and user training. Household stove use was positively associated with reported cooking needs and negatively associated with age of the main cook, household socioeconomic status, and the availability of substitute cleaner-burning stoves. Our results show that even a carefully engineered, multi-purpose semi-gasifier stove and fuel intervention contributed modestly to overall household energy use in rural China.",12,7,p. 075004
F,2018,"Hyman J, Bailis R",Assessment of the Cambodian National Biodigester Program,Energy for Sustainable Development,ISSN 0973-0826,https://doi.org/10.1016/j.esd.2018.06.008.,"The National Biodigester Program (NBP) was established in 2006 to build and maintain household biodigesters in Cambodia. In its first six years, the program installed almost 20,000 biodigesters and established an in-country network of local financiers, construction companies, skilled masons, bioslurry specialists and after-care technicians accessible to rural users in 14 of 24 Cambodian provinces. Since its initial success, the program's adoption rates have stalled despite increasing government support and high rates of user satisfaction. Building on an initial evaluation of the NBP in 2013, this updated assessment identifies multiple changes in its second implementation phase that have undermined the initial momentum of the program. Abrupt interruptions in institutional support, deteriorating supply side services (access to construction agents, masons, repair services) and reduced access to credit for farmers have eroded the service network that the first implementation phase established. Structural changes in the rural economy may also contribute to declining demand. Government support to another biodigester program which offers a lower investment price, but does not provide after-sales services, has also undercut the long-term implementation strategy of the NBP. The paper finds that despite these programmatic changes, the installed biodigesters continue to perform according to expectation and to be maintained and valued by their users, but the future viability of the program remains uncertain.",46,,11-22
F,2013,"Pachauri S,  van Ruijven BJ, Nagai Y,  Riahi K, van Vuuren DP,  Brew-Hammond A, Nakicenovic N",Pathways to achieve universal household access to modern energy by 2030,Environmental Research Letters,,doi:10.1088/1748-9326/8/2/024015,"A lack of access to modern energy impacts health and welfare and impedes development for billions of people. Growing concern about these impacts has mobilized the international community to set new targets for universal modern energy access. However, analyses exploring pathways to achieve these targets and quantifying the potential costs and benefits are limited. Here, we use two modelling frameworks to analyse investments and consequences of achieving total rural electrification and universal access to clean-combusting cooking fuels and stoves by 2030. Our analysis indicates that these targets can be achieved with additional investment of US$200565–86 billion per year until 2030 combined with dedicated policies. Only a combination of policies that lowers costs for modern cooking fuels and stoves, along with more rapid electrification, can enable the realization of these goals. Our results demonstrate the critical importance of accounting for varying demands and affordability across heterogeneous household groups in both analysis and policy setting. While the investments required are significant, improved access to modern cooking fuels alone can avert between 0.6 and 1.8 million premature deaths annually in 2030 and enhance wellbeing substantially",8,0,7 pp
F,2013,"Christiaensen, L.; Heltberg, R.",Greening China's rural energy: new insights on the potential of smallholder biogas,Environment and Development Economics,1355-770X,10.1017/S1355770X13000375,"This study assesses a new generation of smallholder biogas, an applied sustainable energy technology currently being rolled out on a massive scale in rural China. In the past, the implementation of biogas programs has been largely disappointing, in China (and elsewhere). User satisfaction with the new program is high, based on purposively collected data from 2,700 households in five provinces, and the available evidence suggests tangible environmental and economic benefits. There are strong indications of fuel switching away from fuelwood and crop residues. Less time is spent on fuelwood collection and cooking, which benefits women especially. Adopters save on fertilizers by using biogas residues. Finally, problems with suspension and interrupted supply appear lower than in earlier studies. Overall, these initial findings are grounds for optimism about the potential for scaled-up smallholder biogas to deliver safe and clean rural energy, in China and beyond, provided critical conditions are met.",19,1,
F,2007,"Wentzel, Marlett; Pouris, Anastassios",The development impact of solar cookers: A review of solar cooking impact research in South Africa,Energy Policy,,10.1016/j.enpol.2006.06.002,"Solar cooking is often considered ‚Äúa solution looking for a problem‚Äù. Solar cookers have long been presented as an interesting solution to the world's problem of dwindling fuel wood sources and other environmental problems associated with wood fuel demand for cooking. However, recent GTZ field work in South Africa showed different benefits instead: the use of solar cookers resulted in appreciable fuel and time savings as well as increased energy security for households using commercial fuels. These observations are based on field tests in South Africa that started in 1996 to investigate the social acceptability of solar cookers and to facilitate local production and commercialisation of the technology. Impact studies and use rate studies have been carried out by a number of different organisations since the inception of the project and although commercialisation of the technology has not been achieved to its fullest potential, impact studies indicate that solar cookers have a positive development impact on households through fuel-, energy- and time savings. The article aims to summarise the findings of the various studies and present an overview of use rates and impact data. A variety of factors influence solar cooker use rates, which in turn determine impacts. Some factors are related to the user, some to the environment in which the cooker is used and some to the cooker itself. Ultimately, the data shows that on average, only 17% of solar cooker owners do not use their stoves after purchase and that active solar cooker users utilise their stoves on average for 31% of their cooking incidences. Since the majority of solar stove buyers actually use their stoves and obtain real benefits, this suggests that that solar cookers are indeed not a solution looking for a problem but a solution worth promoting.",35,,1909-1919
F,2005,"Coyle, R.",Promoting solar cookers through the Solar Cookers,Boiling Point,,http://www.bioenergylists.org/stovesdoc/PracticalAction/boilingpoint51.pdf,,51,,11-12
F,1997,"Alberts, Henk; Moreira, Celia; Pérez, Rosa Maria","Firewood substitution by kerosene stoves in rural and urban areas of Nicaragua, social acceptance, energy policies, greenhouse effect and financial implications",Energy for Sustainable Development,0973-0826,https://doi.org/10.1016/S0973-0826(08)60210-0,"Deforestation is a national and international concern. In Nicaragua the feasibility of attacking this problem was studied at one of its roots, the demand for and consumption of firewood, through a massive fuel switch towards kerosene. A locally-based foundation distributed 700 high-quality Chinese kerosene stoves, using a credit scheme, both in a village and in a suburb of the capital. Surveys of family fuel consumption for meal preparation were carried out before the intervention and again, one year later, after the intervention. The population's acceptance of the stoves was very high. Proof of this is evident in such factors as (1) the high percentage of delivery of the stoves to 93% and 73%, respectively, of the population that uses firewood or charcoal; (2) the highly enthusiastic reactions elicited from the people during visits by the Foundation's workers; (3) the high usage rate of the stoves (80%); and (4) the overall decrease of 50% in the use of firewood for the involved area. This article is centered around the extent of coverage, social acceptance and community behavior, and the local capacity to perform this fuel switch, while themes related to energy efficiency, energy policy, the greenhouse effect and financial implications are incorporated to indicate the national and international impact of this strategy. Offering an alternative source of fuel to the population is a feasible, cheap and highly appreciated solution to deforestation. Projects using these methods could potentially lower firewood consumption at the national level by 50%. Local organizations are capable of implementing this strategy on a wide scale. The economically less favored classes of the population can be reached without any major constraints, leading at the same time to important positive effects on health. The cost per tonne of carbon emission avoided through this strategy is calculated at US$ 1.7, which is far below standards used in joint implementation programs. A worldwide strategy could lower the present surplus balance of CO2 emission by 13%, maintaining at the same time the natural capacity of CO2 absorption. In this scenario, the world consumption of petroleum products will increase by 0.8%.",3,5,26-39
F,2011,"Pine, K.; Edwards, R.; Masera, O.; Schilmann, A.; Marrón-Mares, A.; Riojas-Rodríguez, H.",Adoption and use of improved biomass stoves in Rural Mexico,Energy for sustainable development,0973-0826,0,,15,2,176-183
F,2004,"Álvarez, D.; Palma, C.; Tay, M.",Case study 1: Tezulutlan project. In: Evaluation of improved stove programs in Guatemala: final report of project case studies.,ESMAP TECHNICAL PAPER 060,,0,,,,21-44
F,2012,"Barnes DF, Kumar P, Openshaw K","Maharashtra – commercial approach. Chapter 3 in: Cleaner hearths, better homes: new stoves for India and the developing world.",,,0,,,,24-35
F,2012,"Barnes DF, Kumar P, Openshaw K","Haryana – women's involvement approach. Chapter 4 in: Cleaner hearths, better homes: new stoves for India and the developing world.",,,0,,,,
F,2012,"Barnes DF, Kumar P, Openshaw K","Karnataka – technical innovation and institutions. Chapter 5 in: Cleaner hearths, better homes: new stoves for India and the developing world.",,,0,,,,24-35
F,2012,"Barnes DF, Kumar P, Openshaw K","Gujarat – rural development approach. Chapter 6 in: Cleaner hearths, better homes: new stoves for India and the developing world.",,,0,,,,64-77
F,2012,"Barnes DF, Kumar P, Openshaw K","Andhra Pradesh - Interagency Coordination. Chapter 7 in: Cleaner hearths, better homes: new stoves for India and the developing world.",,,0,,,,78-94
F,2012,"Barnes DF, Kumar P, Openshaw K","West Bengal - Nongovernmental Organizations. Chapter 8 in: Cleaner hearths, better homes: new stoves for India and the developing world.",,,0,,,,95-113
F,1998,"Wallmo, Kristy; Jacobson, Susan K",A social and environmental evaluation of fuel-efficient cook-stoves and conservation in Uganda,Environmental Conservation,1469-4387,0,,25,2,99-108
F,2007,"Troncoso, K.; Castillo, A.; Masera, O.; Merino, L,",Social perceptions about a technological innovation for fuelwood cooking: Case study in rural Mexico,Energy Policy,,10.1016/j.enpol.2006.12.011,"The widespread use of traditional biomass fuels in open fires in developing countries brings about serious health effects, besides high fuelwood consumption. A technological innovation‚Äîi.e., improved cookstoves‚Äîreduce fuel consumption and address the health effects of indoor air pollution. Implementation projects have been conducted worldwide, but have frequently faced very low success rates. Different demographic and socio-economic factors have been analysed to explain low rates but there are almost no studies that try to understand, from the users' perspective, the factors involved when choosing among different cooking technologies. Through a qualitative methodological approach we documented the adoption of improved cookstoves through the implementation programme of a Mexican NGO. Results showed that although the programme raised public awareness, the improved cookstoves did not reach the poorest sector. The socioeconomic level was found positively correlated with the adoption of the improved cookstoves, but neither the age nor the educational levels were. Payment of the stove did not seem to be an adoption factor. Differences among individual users were more significant than differences between communities. Finally as men are the principal fuelwood harvesters, they should be considered as an important group in diffusion programs.",35,,2799-2810
F,2011,"Sovacool, B.K.; Drupady, I.M.",Summoning earth and fire: The energy development implications of Grameen Shakti (GS) in Bangladesh,Energy,0360-5442,doi:10.1016/j.energy.2011.03.077,"Since its establishment in 1996, the nonprofit company Grameen Shakti (GS) has installed almost half a million solar home systems (SHS), 132,000 cookstoves, and 13,300 biogas plants among 3.1 million beneficiaries. They plan to ramp up their expansion so that by 2015, more than 1.5 million SHS are in place along with 100,000 biogas units and 5 million improved cookstoves. This article describes GS’s current activities, the contours of its programs, and likely reasons for its success. It also explores the remaining challenges facing GS and distils common lessons for other energy development assistance projects and programs around the world. After detailing research methods consisting primarily of research interviews and site visits, the article briefly explores the history of GS and summarizes its three most prominent programs. The article then identifies six distinct benefits to their programs—expansion of energy access, less deforestation and fewer greenhouse gas emissions, price savings, direct employment and income generation, improved public health, and better technology—before discussing challenges related to staff retention and organizational growth, living standards, technical obstacles, affordability, tension with other energy programs, political constraints, and awareness and cultural values.",36,7,4445-4459
F,2011,"Troncoso, K.; Castillo, A.; Merino, L,; Lazos, E.; Masera, O.R.",Understanding an improved cookstove program in rural Mexico: An analysis from the implementers' perspective,Energy Policy,0301-4215,https://doi.org/10.1016/j.enpol.2011.04.070,"The adoption of innovations in rural areas depends, among many different factors, on the way development workers approach a community. Through a qualitative research methodology this study documented the adoption of a new technology, by following an improved cookstove implementation program carried out by a Mexican NGO. This technology reduces fuel consumption and addresses health impacts of indoor air pollution caused by the widespread use of traditional biomass fuels in open fires in developing countries. Different demographic and socio-economic factors have been analyzed to explain the low success rates implementation projects have faced worldwide, but there are almost no studies that examine the problem from the perspective of implementers. The aim of this study was to understand how the different visions of the individuals involved in an implementation program affect its outcome. Findings showed that the NGO work was constrained by the need to meet the commitment with sponsors. The adoption rates did not change between the first and the second stage of the project, even though the approach towards users was very different. A lack of a shared vision among the work team towards the project was found and the existence of two main perspectives among program workers‚Äîbroadly described as people-centered and technology-centered‚Äî, gave place to differences in attitudes towards the program.",39,12,7600-7608
F,2005,"Masera, Omar R.; Díaz, Rodolfo; Berrueta, Víctor",From cookstoves to cooking systems: the integrated program on sustainable household energy use in Mexico,Energy for Sustainable Development,0973-0826,https://doi.org/10.1016/S0973-0826(08)60480-9,"Interest in household energy use and improved cookstoves is growing again, prompted this time by a breadth of concerns that range from local environmental, socio-cultural and, very particularly, health issues to global aspects related to the emissions of greenhouse gases. To face these challenges, improved cookstove programs are evolving from projects narrowly targeting stove construction or sales to more integrated ‚Äúsystemic‚Äù approaches. This paper discusses one such approach: a multi-institutional effort directed to improve the sustainability of household energy use in rural Mexico. The program is based in the highlands of central Mexico, and seeks to set up a model that can be scaled up and replicated in other regions. The program has five main components that are highly integrated: technology innovation and market development, a cookstove dissemination package, support to micro-enterprise development, monitoring and evaluation and outreach activities. One of the program's salient features is the development and dissemination of a new efficient wood-burning cookstove named ‚ÄúPatsari‚Äù. Results of the first year and a half of project implementation and the main challenges and lessons learned by the program are presented and discussed.",9,1,25-36
F,2005,"Terrado, E. N.; Eitel, B.",Pilot commercialization of improved cookstoves in Nicaragua.,ESMAP TECHNICAL PAPER 085,,0,,,,
S,2019,"Jürisoo, M.; Serenje, N.; Mwila, F.; Lambe, F.; Osborne, M. ",Old habits die hard: Using the energy cultures framework to understand drivers of household-level energy transitions in urban Zambia.,Energy Research & Social Science,2214-6296,10.1016/j.erss.2019.03.001,"This paper contributes to the literature on household energy transitions by highlighting the case of household cooking in urban Lusaka, Zambia. Through 32 targeted sector expert and household level interviews, we use the “Energy Cultures Framework” to identify normative, material and practice related determinants of the dominant cooking culture(s). We find that cooking behaviour is determined and self-reinforced through everyday social interactions, such as expectations of food taste, the practice of purchasing charcoal, and the ability to undertake daily chores in combination with cooking. The current dominant cooking culture(s) meets little resistance but is reinforced by external factors such as national policy regulation, lack for attractive alternative technologies and accessible charcoal markets. We also explore what might drive change of the dominant cooking culture(s) and find that perceptions vary notably between households and sector experts. While households generally recognise that a change in cooking culture is complex to bring about - as it is determined by a multitude of intertwined “softer” factors - sector experts consistently highlighted “harder” determinants of cooking behaviour such as fuel availability, fuel price and the cost of alternatives as the main triggers of change. This mismatch in understanding of how change is enabled about suggests that top-led interventions to diversify cooking behaviour have much to gain from further considering how norms, practices and material culture determine dominant energy culture(s) in a society.

",53,,59-67
S,2018,"Benka-Coker, M. L.; Tadele, W.; Milano, A.; Getaneh, D.; Stokes, H. ",A case study of the ethanol CleanCook stove intervention and potential scale-up in Ethiopia.,Energy for Sustainable Development,0973-0826,10.1016/j.esd.2018.06.009,"Approximately 80% of Ethiopia's energy consumption is dominated by woody biomass fuel use, resulting in 91.2 million tons of firewood and 4.2 million tons of charcoal consumed annually. Ethiopia's dependency on non-sustainable energy, especially for cooking, has been a major concern for the nation for the past 30 years, contributing to deforestation, climate change, and adverse human health impacts. Our objective was to document the work of Gaia Association and the implementation of the ethanol CleanCook stove in the refugee camp and urban settings of Ethiopia. We then assessed the potential for the scale-up of ethanol as a household fuel. We utilized the Reach, Effectiveness, Adoption, Implementation and Maintenance (RE-AIM) framework to evaluate the effectiveness and sustainability of the ethanol cookstove intervention. We obtained secondary data from a variety of sources to evaluate a.) The performance of the CleanCook ethanol stove; b.) Effectiveness of the ethanol cookstove implementation; and, c.) Barriers to scale-up and commercialization of ethanol use as a household fuel. In addition, we conducted primary analysis of qualitative surveys to evaluate the perceptions of the ethanol and adoption of the CleanCook stove. Our case study results provide critical insight into the 13-year implementation of the CleanCook ethanol stove in Ethiopia. Laboratory tests demonstrate that the CleanCook stove reduces harmful emissions compared to biomass stoves, and preliminary field tests show 24-hour average PM2.5 levels of 200 μg/m3. To-date 8731 CleanCook stoves were distributed to refugee households, while an additional 500 were sold at a subsided price to low-income urban households. CleanCook stove users report the continued use of multiple stoves. The CleanCook ethanol stove has been implemented as an energy intervention for the vulnerable refugee population in Ethiopia for over 13 years. There has been limited success of a subsidized CleanCook stove among low-income households in Addis Ababa. This case study demonstrates the complexities of promoting a new fuel for household cooking, and the numerous obstacles and stagnations in implementation. Ethanol demonstrates some potential for scale-up and commercialization as a household fuel in Addis Ababa, but it may require simultaneous stabilization of ethanol supply, growth of a city-wide distribution infrastructure, and an affordably priced stove and fuel.",46,,53-64
S,2019,"Ministry of Energy, Republic of Kenya ",Kenya Household Cooking Sector Study Assessment of the Supply and Demand of Cooking Solutions at the Household Level.,"Report, Ministry of Energy",,https://eedadvisory.com/wp-content/uploads/2020/09/MoE-2019-Kenya-Cooking-Sector-Study-compressed.pdf,,,,176 pp.
S,2019,"Sharma, A., Parikh, J.; Singh, C. ",Transition to LPG for cooking: A case study from two states of India.,Energy for Sustainable Development,,10.1016/j.esd.2019.06.001,"This study uses 810 households data collected from two states of India-Raipur district in Chhattisgarh State and Ranchi in Jharkhand- to analyse the LPG cooking transition. Most of the available studies for the South Asia region and particularly for India had mainly focused on the access aspect of clean cooking in terms of fuel or stove. In this study, we particularly focus on the household transition to clean cooking fuel (LPG) in terms of its usage. Using the Tobit regression model for censored data the study highlights the socioeconomic and other factors that may influence LPG transition. The study finds that there could be common as well as location specific factors driving LPG transition. Income linkages with LPG usage may be weak in regions with high prevalence of home produced or collected solid fuel consumption. Duration of LPG acquisition, considered in the study as a factor of behavioural aspect, has emerged as an important variable promoting LPG transition over time. The analysis suggests that LPG capital subsidy scheme, PMUY, has provided a trigger for LPG transition among beneficiary households. Increasing the share of LPG in monthly cooking fuel may require good LPG services such as doorstep delivery.",51,,63-72
S,2009,"Gebreegziabher, Z.; Mekonen, A.; Kassie, M.; Kohlin, G.",,Working Paper. Environmental Economics Policy Forum for Ethiopia (EEPFE) & Ethiopian Development Research Institute (EDRI),,https://efdinitiative.org/research/projects/urban-energy-transition-and-technology-adoption-case-tigrai-northern-ethiopia,"Deforestation in Ethiopia has resulted in growing fuel scarcity and higher firewood prices in urban centers. Urban centers have long been dependent on the rural hinterlands for their fuel. The use of biofuels of rural origin covers about 90% of the urban fuel use. The dependence of urban centers on their rural hinterlands has aggravated the deforestation. One response to reducing the pressure of urban centers on their rural hinterlands could be through substitutions between or switching from one fuel to another, i.e., through energy transition. For example, through substituting away or switching from fuelwood to electricity. Electricity as cooking fuel is cleaner and do not cause deforestation. In the literature, the transition from traditional to modern fuels has often been conceptualized as a relatively straightforward three-stage process; with woodfuel the predominant energy source in stage one. Stage two is marked by local deforestation, i.e., decreasing wood availability, and the emergence of markets for such ‘transition’ fuels as charcoal and kerosene. Stage three is characterized by developed markets, rising incomes, and large scale fuel switching to LPG and electricity. However, the argument in here is that it might not be that simple and straightforward and that the extent of the environmental and health effects (positive externalities) generated thereof might be conditioned by technology adoption.",,,
