Reason for Exclusion (PICOQ),Explanation,Reference Type,Year,Author,Title,Publication Title,ISBN/ISSN,DOI,URL,Abstract,Volume,Issue,Pages,Keywords,
I,Not a Program,Journal Article,2011,"Jubb, Michael; Cook, Joel; Hulls, Daniel; Jones, David; Ware, Mark","Costs, risks and benefits in improving access to journal articles",Learned Publishing,0953-1513,10.1087/20110402,,"This paper reports on a study overseen by representatives of the publishing, library, and research funder communities in the UK investigating the drivers, costs, and benefits of potential ways to increase access to scholarly journals. It identifies five different but realistic scenarios for moving towards that end over the next five years, including gold and green open access, moves towards national licensing, publisher-led delayed open access, and transactional models. It then compares and evaluates the benefits as well as the costs and risks for the UK. The scenarios, and the modelling on which they are based, amount to a benefit–cost analysis to help in appraising policy options. Our conclusion is that policymakers should encourage the use of existing subject and institutional repositories, but avoid pushing for reductions in embargo periods, which might put at risk the sustainability of the underlying scholarly publishing system. They should also promote and facilitate a transition to gold open access, while seeking to ensure that the average level of publication fees does not exceed c.£2.000; that the rate in the UK of open access publication is broadly in step with the rest of the world; and that total payments to publishers from UK universities do not rise as a consequence.",24,4,247-260,,
P,Wrong Sector,Serial,2020,"Shulus, A. A.; Zarudneva, A.; Yatsechko, S.; Fetisova, O.",The Algorithm of Modern Russia's Transition to the Digital Economy,Lecture Notes in Networks and Systems,23673370 (ISSN),10.1007/978-3-030-29586-8_7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072901298&doi=10.1007%2f978-3-030-29586-8_7&partnerID=40&md5=68c4d6d43a53a26f814597936a4d952b; https://link.springer.com/chapter/10.1007%2F978-3-030-29586-8_7,"Purpose: The purpose of the paper is to solve the problem of implementing the national program ‚ÄúDigital economy of the Russian Federation‚Äù and to develop the algorithm of modern Russia's transition to the digital economy. Design/Methodology/Approach: The authors determine the general (universal) algorithm of transition of a modern economic system to the digital economy. Evaluation of efficiency of modern Russia's transition to the digital economy is performed. Collection, systematization, and analysis of the existing statistical information are conducted with the help of the method of comparative analysis, which allows comparing the level of digitization of the Russian economy and economies of other countries of the world and determining the stage of transition to the digital economy in Russia. Then, the barriers and perspectives of finishing this transition are determined, and the authors' recommendations are offered ‚Äì based on which the algorithm of transition to the digital economy of modern Russia is compiled. Findings: It is proved that modern Russia successfully performs transition to the digital economy, together with the most progressive developed and developing countries of the world. As of the 2019 data, Russia is finishing the third stage of this transition (out of four stages of the universal algorithm), which is connected to provision of mass usage of the Internet. The next (final) stage should be mass distribution of breakthrough digital technologies. Originality/Value: The algorithm of modern Russia's transition to the digital economy is offered. It will allow overcoming the barriers on the path of finishing this process with joint efforts of the state, business, and society. Main attention is paid to the issues of formation of effective demand for breakthrough digital technologies. It includes three consecutive steps: Development information society, formation of technological reserves, and implementation of breakthrough digital technologies; thus, Russia's transition to the digital economy will be finished by 2024. ¬© Springer Nature Switzerland AG 2020.",87,,57-63,,
I,Not a Program,Journal Article,2019,"Wyse, S. M.; Hoicka, C. E.",By and for local people: assessing the connection between local energy plans and community energy,Local Environment,1354-9839,10.1080/13549839.2019.1652802,https://www.tandfonline.com/doi/full/10.1080/13549839.2019.1652802,"Community energy (CE) is argued to be an opportunity to transition to low-carbon energy systems while creating additional benefits for local communities. CE is defined as energy initiatives that place a high degree of emphasis on participation of local community members through ownership and control, where through doing so, benefits are created for the community. The trend has seen considerable growth in many countries over the last decade. Occurring simultaneously is a trend for local communities (e.g. municipalities) to create their own Local Energy Plans (LEPs) - a planning process that articulates energy-related actions (i.e. expected outcomes). While CE and LEPs both address energy activities in a local context, any further connection between these trends remains unclear. This research develops a framework, based on CE and LEP literature, to assess LEPs for their relevance to CE. The research analyses 77 LEPs from across Canada for the ways in which they address the three components that define CE: community participation, community ownership, and community capacity. The main findings are that LEPs have emerged as a process that is both relevant to CE and capable of strategically addressing its components. Despite this, LEPs do not appear to reveal a radically different approach to the ""closed and institutional"" models of traditional community involvement practices. The investigation suggests that for CE advocates, LEPs may be considered to be an important avenue to pursue CE ambitions. LEPs could increase their relevance to CE by improving the processes and actions related to all three CE components.",24,9,883-900,Local energy plans; community energy; community participation; localism; RENEWABLE ENERGY; BARRIERS; CANADA,
I,Not a Program,Journal Article,2014,"Ojo, G. U.",Prospects of localism in community energy projects in Nigeria,Local Environment,1354-9839,http://dx.doi.org/10.1080/13549839.2013.818948,http://www.tandfonline.com/loi/cloe20; https://www.tandfonline.com/doi/abs/10.1080/13549839.2013.818948,"A notable feature of development aid since the 1960 s has been a paradigm shift from centralised project planning and management to decentralised approaches. The transition from top-down to bottom-up elevates the concept of localism in project management for vulnerable groups. This change resonates well in community-based resource management schemes in privileging the locale in terms of generation of knowledge and how problems and remedies are enunciated. Localism conceptualised as devolving central-level government functions to non-state actors in social service delivery is contradictory and seems to negate state powers. This paper explores this trajectory to explicate the forms of localism and the contradictions from its multiple conceptualisations that influence energy access. Using qualitative methodology and interviews, it analyses renewable energy projects directed at poverty alleviation in rural communities in Nigeria while deploying a political ecology framework of power relations to highlight the dynamics of localism. While localism is touted as a constraint in the development process due to localism of action, the paper demonstrates its prospects and how scaling-up of operations may augur well for altering its conceptualisation and with far-reaching consequences for community sustainable energy projects.",19,8,933-946,climate change; community involvement; decentralization; development aid; development projects; fuelwood; renewable energy; resource management; rural communities,
I,Not a Program,Journal Article,2015,"Aiken, G. T.","(Local-) community for global challenges: carbon conversations, transition towns and governmental elisions",Local Environment,1354-9839,10.1080/13549839.2013.870142,https://www.tandfonline.com/doi/full/10.1080/13549839.2013.870142,"This article addresses the narrowing interpretation of community when governmentalised: that of community's elision with local. First it surveys five broad academic and policy interpretations of the community implied in low carbon transitions. These demonstrate the persistence of community's broad and open-ended polysemy today. Second it looks more closely at the role community plays in UK environmental governance today, including specific evidence from two such government-funded community initiatives used to meet global environmental challenges: Transition Towns and Carbon Conversations. Third it provides a critique of community governance-beyond-the-state. It argues that community used to ""jump scales"" in response to global challenges like climate change, is often at its most narrow: local and governmentalised. Doing so helps contextualise the governmentalisation of (local-) community in UK environmental governance. Often it is localised in order to delegate (perceived) agency and responsibility onto individual actors at a local level.",20,7,764-781,community; transition; localism; transition towns; governmentality; CLIMATE-CHANGE; INNOVATION; ENERGY; GOVERNANCE; BARRIERS,
P,No Primary Data; Not a Program,Book Section,2013,"Krausmann, F.",A city and its hinterland: Vienna's energy metabolism 1800-2006,Long Term Socio-Ecological Research: Studies in Society-Nature Interactions Across Spatial and Temporal Scales,9789400711778 (ISBN); 9789400711761 (ISBN),10.1007/978-94-007-1177-8_11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974543834&doi=10.1007%2f978-94-007-1177-8_11&partnerID=40&md5=89a26aef5ac5e059918901ba11023ff7; https://link.springer.com/chapter/10.1007%2F978-94-007-1177-8_11,"Cities are centres of resource consumption and urban resource use has a considerable in fluence on both the economy and the environment in the resourceproviding hinterland. This chapter looks at cities from a socio-ecological perspective and investigates the evolution of the energy metabolism of the city of Vienna since the beginning of industrialisation. Based on time series data on the size and structure of energy consumption in Vienna in the period from 1800 to 2006, it analyses the energy transition and how it relates to urban growth. It shows that during the last 200 years, a multiplication of energy use and a shift from renewable biomass towards coal and finally oil and natural gas as the dominating energy source have been observed. This energy transition was not a continuous process, but different phases in the energy transition can be distinguished. Also the spatial relations between the city and its resource-supplying hinterland changed. But growth in urban resource use was not simply causing an equal growth of the spatial imprint of urban consumption. Our results show that the size and spatial location of the resourcesupplying hinterland is the combined result of various dynamic processes, including transport technology and agricultural productivity. The paper shows how energy and transport revolution abolished barriers of growth inherent to the old energy regime. ¬© Springer Science+Business Media Dordrecht 2013.",,247-268,Springer Netherlands,City-hinterland relation; Energy consumption; Energy transition; Industrialization; Urban metabolism,
I,Not a Program,Journal Article,2017,"Santa, A. M. I.",The Common Energy Market of the European Union - Challenges and Perspectives,Management & Marketing-Challenges for the Knowledge Society,1842-0206,10.1515/mmcks-2017-0020,https://content.sciendo.com/downloadpdf/journals/mmcks/12/2/article-p334.pdf,"The European Commission has the initiative to foster the sector of renewable energy and to build an Energy Union, with a common energy market at the level of the European Union, but is this only a utopic vision or is this possible to achieve? The topic of clean energy is very new and of great interest for the European Union, which is shown by the fact that the European Commission recently adopted on the 30th November 2016 the package ""Clean Energy for All Europeans"", which contains proposals for the modernization of the energy market at the level of the European Union. But which are the challenges such a project is confronted with? According to the literature, such challenges are related to the process of liberalization of electricity markets. Conflicts between national interest and international actors of the energy market might occur. Due to the oligopolistic structure of the energy market, there are several barriers to the market entry. In order to answer to the research questions, case studies regarding the liberalization of the energy market will be analyzed in a comparative manner, offering an international overview. Furthermore, the legal provisions on which the common energy policy of the European Union relies, will be analyzed, as well as their economic and social impact. The package ""Clean Energy for All Europeans"" comprises a proposal of the revised Renewable energy Directive, energy efficiency measures and issues related to the Energy Union Governance. It contains as well proposals for the electricity market design, which will be analyzed and the present paper outlines the contribution of this proposal in building a common energy market of the European Union. What role does competition play in implementing the common energy market of the European Union? Which role do competition authorities have in this context? These are interesting aspects to be analyzed in the present paper.",12,2,334-345,common energy market; energy union; clean energy; renewable energy; directive; energy union governance; competition; liberalization,
I,Not a Program,Book Section,2014,"Alias, M.; Masek, A.; Salam, S.; Bakar, N.; Nawawi, R. M.",Applications of green technology for sustainable public bus services,"Management and Technology in Knowledge, Service, Tourism & Hospitality",978-1-315-77552-4; 978-1-138-00133-6,,,"Reduced carbon footprints and sustainable public transportation including bus services can be achieved with the applications of suitable green technology. However, to promote the usage of green technology, the technology must not only meet public needs but the public must also appreciate the benefits of adopting green technology in the form of ICT solutions in their routines. Using a theoretical model based on the theory of Technology Acceptance Model (TAM), this study determines the needs for prompt delivery from bus operators as one of the most important modes of public transportation and to develop the appropriate technology applications that would best fulfil these needs. Twenty five bus drivers and users from the state of Malacca were surveyed on their perceptions of existing services as well as suggestions for actions to improve the services. Potential characteristics of green technology for meeting these needs were also identified which will be used for the development of the new technology. Initial findings from this research indicate that ascertaining availability of bus is an issue that can be alleviated by appropriate applications. Important attributes of the ICT solution identified included ease of payment and ease of use.",,13-18,Crc Press-Taylor & Francis Group,,
P,No Primary Data,Journal Article,2007,"Owens, G. M.",Analyzing impacts of bioenergy expansion in China using strategic environmental assessment,Management of Environmental Quality,1477-7835,http://dx.doi.org/10.1108/14777830710753802,http://www.emeraldinsight.com/info/journals/meq/meq.jsp,"The methodologies and activities taken to assess the environmental impacts of a $33 million pilot project were examined. The Asian Develoment Bank biogas utilization project has supported construction of over 7500 biogas digesters in more than 140 rural villages. Additional 10 000 biogas digesters are programmed as well as significant investments in biogas production through large-scale animal agribusinesses. The latter will be supported through investments utilizing the Clean Development Mechanism. This paper looks at the project's Initial Environmental Examination undertaken at appraisal, assesses the ongoing energy and environmental monitoring plan currently under way, and examines the potential for the use of Strategic Environmental Assessment (SEA) for integrating environmental policy considerations on a regional or provincial level in China. Improved technologies for application of renewable energy - in particular successful application and adoption of biogas digesters at the village level - offer the potential to promote sustainable, cost-effective growth in agriculture with concurrent positive environmental impacts. Based on the relative success of ongoing efforts to promote the adoption of biomass technology, a significant expansion of the bioenergy programme is under consideration by the Ministry of Agriculture. The case study suggests that there is potential for use of SEA as a tool for the establishment of regional or provincial environmental priorities by taking account of information on the economic, social and environmental benefits, and costs and risks of adopting a national strategy for biomass utilization..",18,4,396-412,anaerobic digesters; anaerobic digestion; bioenergy; biofuels; biogas; biomass; energy sources; environmental assessment; environmental impact; pilot projects; renewable energy; renewable resources; rural development; sustainability,
I,Not a Program,Journal Article,2018,"Stephenson, F.; Mill, A. C.; Scott, C. L.; Stewart, G. B.; Grainger, M. J.; Polunin, N. V. C.; Fitzsimmons, C.","Socio-economic, technological and environmental drivers of spatio-temporal changes in fishing pressure",Marine Policy,0308597X (ISSN),10.1016/j.marpol.2017.11.029,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037366543&doi=10.1016%2fj.marpol.2017.11.029&partnerID=40&md5=d936a608aad81d708183781e2e729957; https://www.sciencedirect.com/science/article/pii/S0308597X17305778?via%3Dihub,"As part of an ecosystem based approach to fisheries management (EBFM), the heterogeneity of biological communities, key ecological processes and human uses must be understood. Although fishing effort distribution and marine habitat distribution and use are increasingly well understood, little research has quantified spatio-temporal changes in fishing effort or investigated drivers of these changes. Here, a holistic approach was taken to investigate socio-economic, environmental and technological drivers of change in fishing effort distribution of the Northumberland pot-fishery (2004‚Äì2014) using Bayesian Belief Network (BBN) analyses. BBNs were populated using large-scale high resolution spatial and temporal fisheries monitoring data, quantitative and qualitative interviews with fishers and expert opinion. Increases in fishing effort over time were explained by a combination of changes in fleet composition and fishers' behaviour. Increasing vessel and engine sizes, combined with an increased uptake of improved fishing technology have resulted in a greater ability for vessels to fish a greater number of pots. This increase in vessel and fishing capability has resulted in fishers' increased ability to fish in harsher weather conditions, as well as target specific areas or habitats quickly and opportunistically. Non-technological factors, such as declines in stocks of finfish and nephrops and the increasing operational costs of participating in these fisheries may have resulted in fishers solely fishing in the less regulated pot-fishery, targeting high value European lobster on a full-time basis. Increasing costs of pot-fishing in Northumberland coupled with stagnating crab and lobster landings prices may have resulted in increased fishing effort to maintain profitability. ¬© 2017 Elsevier Ltd",88,,189-203,Bayesian Belief Network (BBN) analyses; Ecosystem based fisheries management; Fishing effort distribution; Socio-ecological drivers; Bayesian analysis; environmental factor; fishery management; fishing vessel; price dynamics; profitability; socioeconomic conditions; spatiotemporal analysis; technology adoption; England; Northumberland; United Kingdom; Decapoda (Crustacea); Homarus gammarus; Nephrops,
I,Not a Program,Journal Article,2018,"Sako, B.; Leerlooijer, J. N.; Lelisa, A.; Hailemariam, A.; Brouwer, I. D.; Brown, A. T.; Osendarp, S. J. M.",Exploring barriers and enablers for scaling up a community-based grain bank intervention for improved infant and young child feeding in Ethiopia: A qualitative process evaluation,Maternal and Child Nutrition,1740-8695,10.1111/mcn.12551,https://onlinelibrary.wiley.com/doi/full/10.1111/mcn.12551,"Child malnutrition remains high in Ethiopia, and inadequate complementary feeding is a contributing factor. In this context, a community-based intervention was designed to provide locally made complementary food for children 6-23months, using a bartering system, in four Ethiopian regions. After a pilot phase, the intervention was scaled up from 8 to 180 localities. We conducted a process evaluation to determine enablers and barriers for the scaling up of this intervention. Eight study sites were selected to perform 52 key informant interviews and 31 focus group discussions with purposely selected informants. For analysis, we used a framework describing six elements of successful scaling up: socio-political context, attributes of the intervention, attributes of the implementers, appropriate delivery strategy, the adopting community, and use of research to inform the scale-up process. A strong political will, alignment of the intervention with national priorities, and integration with the health care system were instrumental in the scaling up. The participatory approach in decision-making reinforced ownership at community level, and training about complementary feeding motivated mothers and women's groups to participate. However, the management of the complex intervention, limited human resources, and lack of incentives for female volunteers proved challenging. In the bartering model, the barter rate was accepted, but the bartering was hindered by unavailability of cereals and limited financial and material resources to contribute, threatening the project's sustainability. Scaling up strategies for nutrition interventions require sufficient time, thorough planning, and assessment of the community's capacity to contribute human, financial, and material resources.",14,2,,complementary feeding; Ethiopia; infant and child; nutrition; nutritional interventions; process evaluation; scaling-up; HEALTH INTERVENTIONS; DEVELOPING-COUNTRIES; NUTRITION; IMPLEMENTATION; FRAMEWORK; PROGRESS; SUCCESS; SYSTEMS; WORKERS,
I,Not a Program,Journal Article,2018,"Yang, Fan; Yang, Ming",Rural electrification in sub-Saharan Africa with innovative energy policy and new financing models,Mitigation and Adaptation Strategies for Global Change,1381-2386,http://dx.doi.org/10.1007/s11027-017-9766-8,http://rd.springer.com/journal/11027; https://link.springer.com/article/10.1007%2Fs11027-017-9766-8,"This paper discusses how the 630 million sub-Saharan Africa (SSA) people can be electrified with new government policy, new renewables, and innovative business models. These initiatives are translating the ambitious goals of Sustainable Development Goal 7 (SDG7) on energy and the United Nations Framework Convention on Climate Change Conference of the Parties 2015 Paris Agreement. The Paris Agreement's central aim is to strengthen the global response to the threat of climate change by keeping a global temperature rise in this century well below 2 degrees C above pre-industrial levels and to pursue efforts to limit the temperature increase even further to 1.5 degrees C. The objective of this paper is to evaluate the feasibility and cost-effectiveness to electrify the 630 million people within the Paris Agreement. Economic status and willingness to pay for electricity services by the poor are briefly analyzed for four new business models. Cost-effectiveness analyses on technologies are undertaken. The results show that a private investment-based financial model is the most effective and environmentally friendly in rural electrification for the poorest households in SSA. The new policy, new renewable energy technologies, and financing models are shaping contemporary climate strategies that facilitate investment in clean energy, spur community economy, enhance national energy security, and improve global environment.",23,6,933-952,analysis; assessment; climate; climate change; cost benefit analysis; electrification; energy policy; energy sources; environment; households; models; policy; renewable energy; resources; rural areas; sustainability; willingness to pay; World,
O,No Outputs,Journal Article,1994,"Sinha, C. S.",Renewable energy programmes in India: Some recent developments,Natural Resources Forum,0165-0203,,,"There is increasing optimism regarding the possible role that renewable energy technologies can play in the coming decade in the energy sector in India. Some recent developments and trends within the renewable energy sector that are responsible for this optimism are discussed. These include the concern for sustainable development that is becoming evident with the attention focused on the energy sector, the current changes in the country's economic policy that are leading to a rationalization of energy prices, adding transparency to the economic merits of renewable energy; thirdly over the last five years, some renewable sources have emerged as technically and economically viable alternatives in the energy sector, as a result more ambitious plans for their dissemination are now being launched. The paper includes a discussion of the recent changes in the implementing institutions, innovation in financing renewable technology investments, and a shift from financial to fiscal incentives. In addition, wind power generation, small hydro, photovoltaic and gasifier programmes are analysed in some detail. The paper concludes that for most of the rural population there are few options, particularly in the market-based framework, to alter the rapidly deteriorating biomass resource base. A top-down, centralized government initiative in designing and implementing rural energy interventions is recommended. However increased local-level participation has substantial payback, as the qualitative enhancement in the biogas programmes in many districts of India, with the involvement of private entrepreneurs as turn-key operators, would indicate.",18,3,213-224,appropriate technology; development policy; energy; energy policy; energy sources; photovoltaic cells; renewable energy; renewable resources; rural development,
I,Not a Program; No Primary Data,Journal Article,2006,"Ailawadi, V. S.; Bhattacharyya, S. C.",Access to energy services by the poor in India: current situation and need for alternative strategies,Natural Resources Forum,0165-0203,,http://www.blackwell-synergy.com/servlet/useragent?func=showIssues&code=narf,"Poor and inadequate access to clean, reliable and affordable energy is now considered a major concern for sustainable development. India houses about a third of the world's population without access to electricity and about 40% of those without access to modern energy. This article considers India's challenge in this area, examines the energy access situation, and analyses measures pursued to improve it. The article argues that the current focus on rural electrification is unlikely to resolve the energy access problem, due to the low penetration of electricity in the energy mix of the poor. The article also argues that strategies based on energy market reform, promotion of renewable technologies and correct price signals are unlikely to succeed in changing the situation, as acceptance of this policy prescription is rather low. Instead, a bottom-up, holistic, long-term approach is suggested that integrates energy access with economic development, and relies on selective market intervention, local resources and local governance.",30,1,43510,access; community involvement; electrification; energy policy; energy sources; participation; poverty; rural areas; rural development,
I,Not a Program,Journal Article,2018,"Colombert, M.","Energy needs at the scale of urban development projects: From model to decision, what barriers?",Natures Sciences Societes,12401307 (ISSN),10.1051/nss/2018048,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060954085&doi=10.1051%2fnss%2f2018048&partnerID=40&md5=d700289c3a6c9c5b8a0ae54594db2ce2; https://www.nss-journal.org/articles/nss/abs/2018/03/nss180048/nss180048.html,"Local authorities are key players in energy and climate transition. Many tools and methods have been or are being developed to second the cities and help them change their practices. In this article, we focus especially on the scale of urban development. To act on this scale in the perspective of energy and climate transition goals, we need to understand what ""physical"" drivers will have an obvious impact on the ability of urban development to respond positively to energy and climate constraints. We also need to understand the decision-making mechanisms and the protagonists who act on these ""physical"" levers. Several barriers limit the consideration of energy issues in urban development projects. One first barrier relates to the massive and plural development of models dealing with energy in the city, whose operability, however, remains to be demonstrated. The second barrier concerns the ability of the tools developed to meet the needs of designers and decision-makers. The third barrier addressed in this article concerns the non-strategic place of energy at the scale of the development project. ¬© NSS-Dialogues, EDP Sciences 2018.",26,3,345-353,Decision; Energy transition; Modelling; Urban development players; Urban planning; decision making; energy use; urban development,
V,Language - Croatian,Journal Article,2017,"Chen, L.; Zhao, C.; Zhang, Q.; Li, X.; Li, Y.; Zhang, X.; Wang, C.; Zhang, Q.; Ma, L.",Progress of liquid biofuel development and demonstration facilities in foreign countries and its inspiration for China,Nongye Gongcheng Xuebao/Transactions of the Chinese Society of Agricultural Engineering,10026819 (ISSN),10.11975/j.issn.1002-6819.2017.13.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030652332&doi=10.11975%2fj.issn.1002-6819.2017.13.002&partnerID=40&md5=c5ba3e50771dcec62296bb392179bcdb,"Biofuels derived from renewable biomass has been the focus of bio-based economy. Especially the development of new processes and facilities from lignocellulosic waste for advanced biofuel production represents an important field for academic research and industrial innovation within bioenergy development. The technical pathways for advanced biofuel production include the processes of cellulosic ethanol through lignocellulose hydrolysis-sugar fermentation, two-step hydrogenation (hydrodeoxygenation and hydroisomerization) of oils and fats (HVO), biomass gasification-Fischer Tropsch synthesis, biomass pyrolysis-upgrading of bio-oil and hydrotreating of algae oil via thermochemical, biochemical and hybrid conversions. Bio-oil, syngas, and sugars are used as platform chemicals. The progress of advanced biofuel development and the project activities in foreign countries were reviewed, which used lignocellulosic biomass, energy crops, municipal solid waste and organic waste as feedstock. The policies and regulations of advanced biofuels in America, Brazil, European Union and Canada, were described and compared. The current status of commercial and demonstration-scale facilities for advanced biofuel production was also discussed, mainly following the conversion processes of lignocellulosic ethanol, hydrotreated oils/fats (HVO) and biomass gasification-Fischer Tropsch synthesis. Although advanced biofuels have advantages for sustainable development, energy security and low carbon emission, the overall production and develop pathways cannot have cost parity with fossil-based fuels. The key barriers associated with its high cost include the unreliable feedstock availability, high production cost and uncertainty of policies. Biomass feedstock, especially lignocellulosic biomass, has huge annual amount worldwide, yet the significant hurdles for collecting, transportation and storage of biomass are needed to overcome in the scale-up of advanced biofuel production. And the limited lignocellulosic feedstock supply is also the result of uncertainties associated with its demand in the current market. Technical risk associated with scaling-up facilities is another restraining factor for investors due to the complexity of lignocellulosic feedstock and its conversion technologies, compared with starch-based corn ethanol. Financial support for pilot and demonstration plants can provide a valuable opportunity to validate technology from lab scale to commercial scale. Thus it would significantly reduce the technical and financial risks for new technology deployment. Cheap crude oil price in recent years is another reason, which resulted in the lack of policy irritation intention from government. As a consequence, the inconsistent developments of advanced biofuels cause its slowdown, and then form a vicious circle for limited feedstock supplements. The assessment of advanced biofuel in China was also discussed and its future development prospect was proposed. Due to the concern of food security in China, the only solution of biofuel production is using waste biomass via advanced technologies. HVO process is relatively easy and mature due to the utilization of bolt-on technologies by introduction of the advanced biofuel refineries into the existing petroleum refinery. Expanding the sources of oil feedstock by screening oil-fixing microorganisms, planting oil plant on marginal land will guarantee its long-term development in China. Cellulosic ethanol, bio-gasoline and biodiesel from lignocellulosic feedstock are essential guarantee for its perspective production. It is necessary to financially support cellulosic ethanol facilities of 100000 t/a and gasification-Fischer Tropsch facilities of 10000 t/a to demonstrate advanced biofuel production. And consistent policy measures are needed to provide investors with certainty about the future growth of advanced biofuel production in China, such as national mandatory addition of biofuel in transportation fuel, and adequate investment on demonstration project. ¬© 2017, Editorial Department of the T ansactions of the Chinese Society of Agricultural Engineering. All right reserved.",33,13,43692,Biofuels; Cellulose; Ethanol; Fischer Tropsch synthesis; Hydrogenation of vegetable oil/fats; Project inspiration; Biomass; Carbon; Cellulosic ethanol; Costs; Crops; Crude oil; Demonstrations; Economics; Energy security; Feedstocks; Fischer-Tropsch synthesis; Food supply; Gasification; Hydrogenation; Industrial research; Investments; Municipal solid waste; Well stimulation; Conversion technology; Demonstration project; Lignocellulosic biomass; Lignocellulosic ethanols; Lignocellulosic feedstocks; Lignocellulosic wastes; Long-term development; Oils and fats,
P,Wrong Sector,Journal Article,2012,"Nasiru, S. G.; Aliyu, G. G.; Gasasira, A.; Aliyu, M. H.; Zubair, M.; Mandawari, S. U.; Waziri, H.; Nasidi, A.; El-Kamary, S. S.",Breaking community barriers to polio vaccination in northern nigeria: The impact of a grass roots mobilization campaign (Majigi),Pathogens and Global Health,20477724 (ISSN),10.1179/2047773212Y.0000000018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866644270&doi=10.1179%2f2047773212Y.0000000018&partnerID=40&md5=7e8281fd48ef71685a61488fd43a8185; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4001576/pdf/pgh-106-03-166.pdf,"This paper examines the impact of a community-based intervention on the trends in the uptake of polio vaccination following a community mobilization campaign for polio eradication in northern Nigeria. Uptake of polio vaccination in high-risk communities in this region has been considerably low despite routine and supplemental vaccination activities. Large numbers of children are left unvaccinated because of community misconceptions and distrust regarding the cause of the disease and the safety of the polio vaccine. The Majigi polio campaign was initiated in 2008 as a pilot trial in Gezawa, a local council with very low uptake of polio vaccination. The average monthly increase in the number of vaccinated children over the subsequent six months after the pilot trial was 1,047 [95% confidence interval (CI): 647-2045, P50.001]. An increasing trend in uptake of polio vaccination was also evident (P50.001). The outcome was consistent with a decrease or no trend in the detection of children with zero doses. The average monthly decrease in the number of children with zero doses was 6.2 (95% CI: 221 to 24, P50.353). Overall, there was a relative increase of approximately 310% in the polio vaccination uptake and a net reduction of 29% of never vaccinated children. The findings of this pilot test show that polio vaccination uptake can be enhanced by programs like Majigi that promote effective communication with the community. ¬© W. S. Maney & Son Ltd 2012.",106,3,166-171,"Majigi; Nigeria; Polio; Trend; Vaccination; poliomyelitis vaccine; article; child; controlled study; high risk population; human; poliomyelitis; preschool child; treatment outcome; Adolescent; Child, Preschool; Female; Humans; Immunization Programs; Infant; Male; Poliovirus Vaccines",
I,Not a Program,Journal Article,2018,"Eyre, N.; Darby, S. J.; Grunewald, P.; McKenna, E.; Ford, R.",Reaching a 1.5 degrees C target: socio-technical challenges for a rapid transition to low-carbon electricity systems,Philos Trans A Math Phys Eng Sci,1364-503x,10.1098/rsta.2016.0462,,"A 1.5 degrees C global average target implies that we should no longer focus on merely incremental emissions reductions from the electricity system, but rather on fundamentally re-envisaging a system that, sooner rather than later, becomes carbon free. Many low-carbon technologies are surpassing mainstream predictions for both uptake and cost reduction. Their deployment is beginning to be disruptive within established systems. 'Smart technologies' are being developed to address emerging challenges of system integration, but their rates of future deployment remain uncertain. We argue that transition towards a system that can fully displace carbon generation sources will require expanding the focus of our efforts beyond technical solutions. Recognizing that change has social and technical dimensions, and that these interact strongly, we set out a socio-technical review that covers electricity infrastructure, citizens, business models and governance. It describes some of the socio-technical challenges that need to be addressed for the successful transition of the existing electricity systems. We conclude that a socio-technical understanding of electricity system transitions offers new and better insights into the potential and challenges for rapid decarbonization.This article is part of the theme issue 'The Paris Agreement: understanding the physical and social challenges for a warming world of 1.5 degrees C above pre-industrial levels'.",376,2119,,1.5 degrees; electricity; integrating renewables; low carbon; socio-technical; transition; whole systems,
